odd_mandante;odd_empate;odd_visitante;time_mandante;time_visitante
1.7965853658536584;3.3658536585365852;4.536341463414634;FLAMENGO/RJ;PALMEIRAS/SP
1.9046341463414636;3.484878048780488;3.7821951219512195;SAO PAULO/SP;BOTAFOGO/RJ
2.9058536585365853;3.1231707317073174;2.4153658536585367;VITORIA/BA;INTERNACIONAL/RS
1.4506896551724138;3.9668965517241377;7.148620689655172;FORTALEZA/CE;LONDRINA/PR
2.155128205128205;3.186153846153846;3.333846153846154;GREMIO/RS;SANTOS/SP
2.645609756097561;3.107073170731707;2.6441463414634145;MIRASSOL/SP;FLUMINENSE/RJ
2.173548387096774;3.074193548387097;3.3522580645161293;JUVENTUDE/RS;SPORT/PE
1.3335897435897437;4.739999999999999;8.282051282051283;CRUZEIRO/MG;CHAPECOENSE/SC
2.687027027027027;3.1799999999999997;2.501621621621622;REMO/PA;ATHLETICO/PR
4.170731707317073;3.9285365853658534;1.7700000000000002;CRYSTAL PALACE;ARSENAL
1.2875609756097561;6.07;8.62829268292683;MANCHESTER CITY;ASTON VILLA
1.8964102564102563;3.661538461538462;3.8607692307692307;TOTTENHAM;EVERTON
1.7707692307692309;3.23948717948718;4.844358974358975;CORINTHIANS/SP;ATLETICO/MG
1.9521621621621623;3.298918918918919;3.7027027027027026;VASCO DA GAMA/RJ;BRAGANTINO/SP
